                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.3767,                 1.4357,                  1.496,                0.47737,                0.45798,                0.46996,                0.20696,                 1.8247,                 2.0651,                 1.9605,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.4223,                 1.4426,                 1.4759,                0.46741,                0.47998,                0.46226,                0.20272,                  1.869,                  2.096,                 1.9862,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.3844,                  1.427,                 1.5337,                0.47334,                0.49708,                0.47349,                0.20145,                 1.8033,                 1.8594,                 1.9342,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.4133,                 1.5185,                 1.5329,                0.58386,                0.42883,                0.46381,                0.19333,                 1.8162,                 1.9625,                  1.954,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.3498,                 1.4925,                 1.5433,                 0.4728,                0.51112,                0.47227,                0.20659,                 1.7905,                 2.0047,                 1.9617,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.3868,                 1.3613,                 1.5028,                0.64095,                0.39508,                0.46362,                0.20424,                 1.8235,                 1.9878,                 1.9738,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.3524,                 1.3503,                    1.5,                0.52997,                0.48727,                0.49004,                0.20823,                 1.8517,                  1.916,                 2.0206,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.3075,                 1.2956,                 1.4526,                0.54623,                 0.5066,                0.48493,                0.19724,                 1.8618,                 1.8795,                 1.9951,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.3633,                 1.3088,                 1.5086,                0.56587,                0.46286,                0.48051,                0.19552,                 1.9429,                 1.9402,                 2.0346,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.3116,                 1.3372,                 1.4556,                0.53966,                0.51179,                0.48799,                0.21074,                 1.9366,                 2.0368,                 2.0464,             0.00044576,             0.00044576,             0.00044576
