                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.98122,                0.69813,                 1.0334,                0.40399,                0.53935,                0.43391,                0.18617,                 2.0119,                 2.3039,                 1.7508,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.0258,                0.71134,                  1.057,                0.53458,                0.40913,                0.43647,                0.18558,                 2.0216,                 2.3941,                 1.7499,             0.00028072,             0.00028072,             0.00028072
                     86,                  1.007,                0.78003,                  1.063,                0.43952,                0.47709,                 0.4367,                0.19594,                 1.9972,                 2.4842,                 1.7162,             0.00026422,             0.00026422,             0.00026422
                     87,                0.99361,                0.77475,                 1.0694,                0.36332,                0.49142,                0.42187,                0.19699,                 1.9166,                 2.4396,                 1.6697,             0.00024772,             0.00024772,             0.00024772
                     88,                0.98112,                0.68786,                 1.0468,                0.36784,                0.46201,                0.39337,                0.17927,                 1.8963,                  2.484,                 1.6674,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.0009,                0.73487,                 1.0622,                0.36319,                0.46672,                0.40059,                0.18257,                 1.9007,                 2.4409,                 1.6736,             0.00021471,             0.00021471,             0.00021471
                     90,                0.94578,                0.68134,                 1.0242,                0.51921,                0.39414,                0.41879,                0.19056,                   1.93,                 2.3822,                 1.6961,             0.00019821,             0.00019821,             0.00019821
                     91,                 1.0439,                0.80542,                  1.085,                0.40897,                0.46267,                 0.4128,                0.18543,                 1.9837,                 2.5307,                  1.731,              0.0001817,              0.0001817,              0.0001817
                     92,                0.99123,                0.73855,                  1.035,                0.47752,                0.42374,                0.39417,                0.17355,                 1.9644,                 2.5384,                 1.7226,              0.0001652,              0.0001652,              0.0001652
                     93,                0.91927,                0.60156,                 1.0183,                0.52746,                0.37199,                  0.386,                0.17391,                  1.964,                 2.5125,                 1.7226,              0.0001487,              0.0001487,              0.0001487
                     94,                0.97442,                 0.6682,                   1.08,                0.51803,                0.37699,                0.38639,                0.17299,                 1.9548,                 2.4508,                 1.6986,             0.00013219,             0.00013219,             0.00013219
                     95,                0.97296,                 0.6418,                 1.0666,                0.50574,                0.41384,                0.39976,                0.17654,                 1.9375,                 2.4187,                 1.6879,             0.00011569,             0.00011569,             0.00011569
                     96,                0.93143,                0.58083,                 1.0138,                0.49099,                0.42845,                0.39051,                0.17588,                 1.9007,                 2.4189,                 1.6827,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.91937,                0.61249,                 1.0573,                0.47132,                0.42415,                0.39794,                0.17673,                  1.878,                  2.396,                  1.672,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 0.9064,                0.60268,                 1.0409,                0.45959,                0.45716,                0.40076,                0.17956,                 1.8961,                 2.4112,                 1.6891,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.87934,                0.56306,                 1.0114,                 0.4525,                0.45277,                0.40683,                0.18149,                 1.9214,                 2.4491,                 1.7006,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.93403,                0.64076,                 1.0563,                0.43637,                0.46248,                0.41404,                0.18586,                 1.9522,                 2.4822,                 1.7098,             3.3173e-05,             3.3173e-05,             3.3173e-05
